,date,province,price
286,2009-01-20,Punjab,619.0
287,2009-01-21,Punjab,662.5
288,2009-01-22,Punjab,646.0
289,2009-01-23,Punjab,720.0
290,2009-01-24,Punjab,649.6210526315789
291,2009-01-26,Punjab,628.9142857142857
292,2009-01-27,Punjab,620.5181818181818
293,2009-01-28,Punjab,654.7111111111111
294,2009-01-29,Punjab,616.4705882352941
295,2009-01-30,Punjab,650.3399999999999
296,2009-01-31,Punjab,639.2375
297,2009-02-01,Punjab,586.9333333333333
298,2009-02-02,Punjab,626.1391304347826
299,2009-02-04,Punjab,617.2266666666667
300,2009-02-05,Punjab,604.45
301,2009-02-06,Punjab,588.5545454545455
302,2009-02-07,Punjab,555.592
303,2009-02-09,Punjab,553.0899999999999
304,2009-02-10,Punjab,560.6333333333333
305,2009-02-11,Punjab,545.0090909090909
306,2009-02-12,Punjab,547.78
307,2009-02-13,Punjab,583.8222222222222
308,2009-02-14,Punjab,636.4470588235295
309,2009-02-16,Punjab,595.3714285714285
310,2009-02-17,Punjab,610.4153846153846
311,2009-02-18,Punjab,609.4384615384615
312,2009-02-19,Punjab,611.1272727272727
313,2009-02-20,Punjab,604.4923076923077
314,2009-02-21,Punjab,647.4375
315,2009-02-23,Punjab,605.1545454545454
316,2009-02-24,Punjab,601.9636363636364
317,2009-02-25,Punjab,616.89
318,2009-02-26,Punjab,627.87
319,2009-02-27,Punjab,635.5555555555555
320,2009-02-28,Punjab,642.3384615384615
321,2009-03-01,Punjab,620.0533333333333
322,2009-03-02,Punjab,639.5826086956522
323,2009-03-03,Punjab,573.6434782608695
324,2009-03-04,Punjab,566.4285714285714
325,2009-03-06,Punjab,566.2545454545455
326,2009-03-07,Punjab,589.1636363636363
327,2009-03-08,Punjab,562.72
328,2009-03-09,Punjab,545.61
329,2009-03-10,Punjab,599.9058823529411
330,2009-03-11,Punjab,541.6086956521739
331,2009-03-12,Punjab,543.295652173913
332,2009-03-13,Punjab,602.911111111111
333,2009-03-14,Punjab,588.3764705882353
334,2009-03-16,Punjab,562.0899999999999
335,2009-03-17,Punjab,578.3176470588235
336,2009-03-18,Punjab,577.5
337,2009-03-19,Punjab,598.4736842105264
338,2009-03-20,Punjab,570.8399999999999
339,2009-03-21,Punjab,617.6714285714286
340,2009-03-22,Punjab,420.0
341,2009-03-24,Punjab,584.7
342,2009-03-25,Punjab,613.48
343,2009-03-26,Punjab,592.1473684210526
344,2009-03-27,Punjab,631.74
345,2009-03-28,Punjab,606.8909090909091
346,2009-03-30,Punjab,568.0333333333333
347,2009-03-31,Punjab,595.964705882353
348,2009-04-02,Punjab,620.4300000000001
349,2009-04-03,Punjab,595.6260869565217
350,2009-04-04,Punjab,643.2533333333333
351,2009-04-05,Punjab,580.8666666666667
352,2009-04-06,Punjab,581.8666666666667
353,2009-04-07,Punjab,575.4333333333333
354,2009-04-08,Punjab,559.475
355,2009-04-09,Punjab,546.1111111111111
356,2009-04-10,Punjab,462.4
357,2009-04-11,Punjab,552.175
358,2009-04-12,Punjab,552.9454545454545
359,2009-04-13,Punjab,615.7454545454545
360,2009-04-14,Punjab,603.11
361,2009-04-15,Punjab,587.8636363636364
362,2009-04-16,Punjab,603.4636363636364
363,2009-04-17,Punjab,579.0909090909091
364,2009-04-18,Punjab,634.6222222222223
365,2009-04-20,Punjab,640.0315789473684
366,2009-04-21,Punjab,619.8761904761905
367,2009-04-22,Punjab,621.9142857142857
368,2009-04-23,Punjab,603.0631578947368
369,2009-04-24,Punjab,610.4545454545455
370,2009-04-25,Punjab,630.1888888888889
371,2009-04-27,Punjab,607.0
372,2009-04-28,Punjab,615.0421052631579
373,2009-04-29,Punjab,583.290909090909
374,2009-04-30,Punjab,590.0
375,2009-05-01,Punjab,644.5555555555555
376,2009-05-03,Punjab,598.221052631579
377,2009-05-05,Punjab,615.1882352941177
378,2009-05-06,Punjab,551.3384615384615
379,2009-05-08,Punjab,540.1130434782609
380,2009-05-09,Punjab,574.2125
381,2009-05-10,Punjab,575.9181818181819
382,2009-05-11,Punjab,543.4100000000001
383,2009-05-12,Punjab,548.3176470588235
384,2009-05-13,Punjab,599.6444444444445
385,2009-05-14,Punjab,609.9090909090909
386,2009-05-15,Punjab,577.7
387,2009-05-16,Punjab,621.3399999999999
388,2009-05-18,Punjab,593.1238095238095
389,2009-05-19,Punjab,614.3416666666667
390,2009-05-20,Punjab,605.2695652173913
391,2009-05-21,Punjab,602.6583333333333
392,2009-05-22,Punjab,583.2
393,2009-05-23,Punjab,625.1888888888889
394,2009-05-25,Punjab,601.9142857142857
395,2009-05-26,Punjab,596.7913043478261
396,2009-05-27,Punjab,611.0899999999999
397,2009-05-28,Punjab,600.4818181818182
398,2009-05-29,Punjab,588.5999999999999
399,2009-05-30,Punjab,604.7
400,2009-06-01,Punjab,618.6545454545454
401,2009-06-02,Punjab,612.9636363636364
402,2009-06-03,Punjab,619.6444444444445
403,2009-06-04,Punjab,598.6761904761905
404,2009-06-05,Punjab,617.5
405,2009-06-06,Punjab,582.6222222222223
406,2009-06-07,Punjab,568.87
407,2009-06-08,Punjab,574.52
408,2009-06-09,Punjab,562.52
409,2009-06-10,Punjab,579.8583333333333
410,2009-06-11,Punjab,541.6
411,2009-06-13,Punjab,611.4333333333333
412,2009-06-15,Punjab,568.025
413,2009-06-16,Punjab,592.7913043478261
414,2009-06-17,Punjab,560.4583333333334
415,2009-06-18,Punjab,563.304347826087
416,2009-06-19,Punjab,544.52
417,2009-06-20,Punjab,586.0
418,2009-06-22,Punjab,555.2719999999999
419,2009-06-23,Punjab,558.5166666666667
420,2009-06-24,Punjab,550.6814814814815
421,2009-06-25,Punjab,562.7153846153847
422,2009-06-26,Punjab,536.0833333333334
423,2009-06-27,Punjab,572.4363636363637
424,2009-06-29,Punjab,565.7142857142857
425,2009-06-30,Punjab,546.2
426,2009-07-02,Punjab,618.3882352941176
427,2009-07-03,Punjab,634.1411764705882
428,2009-07-04,Punjab,609.6857142857143
429,2009-07-05,Punjab,611.9230769230769
430,2009-07-07,Punjab,561.8181818181819
431,2009-07-08,Punjab,606.6666666666666
432,2009-07-09,Punjab,575.8117647058823
433,2009-07-10,Punjab,590.7166666666667
434,2009-07-11,Punjab,568.9733333333334
435,2009-07-12,Punjab,549.6571428571428
436,2009-07-13,Punjab,555.504761904762
437,2009-07-14,Punjab,567.9399999999999
438,2009-07-15,Punjab,567.9399999999999
439,2009-07-16,Punjab,552.1272727272727
440,2009-07-17,Punjab,528.6444444444445
441,2009-07-18,Punjab,578.8266666666666
442,2009-07-20,Punjab,548.6615384615385
443,2009-07-21,Punjab,534.76
444,2009-07-22,Punjab,557.9066666666666
445,2009-07-23,Punjab,552.790909090909
446,2009-07-24,Punjab,543.475
447,2009-07-25,Punjab,584.8421052631579
448,2009-07-27,Punjab,556.5333333333333
449,2009-07-28,Punjab,552.048
450,2009-07-29,Punjab,548.184
451,2009-07-30,Punjab,538.9166666666666
452,2009-07-31,Punjab,522.5
453,2009-08-04,Punjab,587.5428571428571
454,2009-08-05,Punjab,636.1818181818181
455,2009-08-06,Punjab,593.8818181818182
456,2009-08-07,Punjab,561.2148148148148
457,2009-08-08,Punjab,569.1473684210526
458,2009-08-09,Punjab,563.1578947368421
459,2009-08-10,Punjab,589.7919999999999
460,2009-08-12,Punjab,567.5
461,2009-08-13,Punjab,552.9619047619047
462,2009-08-15,Punjab,560.2705882352941
463,2009-08-16,Punjab,515.0
464,2009-08-17,Punjab,559.1636363636363
465,2009-08-18,Punjab,554.6210526315789
466,2009-08-19,Punjab,552.9916666666667
467,2009-08-20,Punjab,554.357894736842
468,2009-08-21,Punjab,551.0461538461539
469,2009-08-22,Punjab,579.24
470,2009-08-23,Punjab,513.0
471,2009-08-24,Punjab,550.6600000000001
472,2009-08-25,Punjab,551.9666666666667
473,2009-08-26,Punjab,567.5473684210526
474,2009-08-27,Punjab,573.6526315789473
475,2009-08-28,Punjab,561.6666666666666
476,2009-08-29,Punjab,592.3764705882353
477,2009-08-30,Punjab,536.8333333333334
478,2009-08-31,Punjab,541.45
479,2009-09-01,Punjab,564.05
480,2009-09-02,Punjab,612.0615384615385
481,2009-09-04,Punjab,599.7652173913044
482,2009-09-05,Punjab,626.0380952380953
483,2009-09-06,Punjab,575.3461538461538
484,2009-09-07,Punjab,556.9076923076923
485,2009-09-09,Punjab,556.5111111111112
486,2009-09-10,Punjab,608.564705882353
487,2009-09-12,Punjab,554.3000000000001
488,2009-09-13,Punjab,513.4
489,2009-09-14,Punjab,561.7130434782608
490,2009-09-15,Punjab,575.3555555555555
491,2009-09-16,Punjab,549.5333333333334
492,2009-09-17,Punjab,564.7111111111111
493,2009-09-18,Punjab,560.5692307692308
494,2009-09-19,Punjab,571.36
495,2009-09-20,Punjab,531.6666666666666
496,2009-09-24,Punjab,550.8222222222222
497,2009-09-25,Punjab,522.5
498,2009-09-26,Punjab,581.3076923076923
499,2009-09-27,Punjab,480.0
500,2009-09-28,Punjab,570.5636363636363
501,2009-09-29,Punjab,575.408695652174
502,2009-09-30,Punjab,584.0090909090909
503,2009-10-01,Punjab,657.8333333333334
504,2009-10-02,Punjab,615.876923076923
505,2009-10-04,Punjab,690.0
506,2009-10-06,Punjab,585.712
507,2009-10-07,Punjab,580.375
508,2009-10-08,Punjab,538.4782608695652
509,2009-10-09,Punjab,570.1
510,2009-10-10,Punjab,616.6117647058824
511,2009-10-11,Punjab,552.0727272727273
512,2009-10-12,Punjab,549.99
513,2009-10-13,Punjab,601.9076923076923
514,2009-10-14,Punjab,601.0538461538462
515,2009-10-15,Punjab,563.08
516,2009-10-16,Punjab,589.7833333333333
517,2009-10-17,Punjab,568.8470588235294
518,2009-10-18,Punjab,507.6
519,2009-10-19,Punjab,575.9
520,2009-10-20,Punjab,567.225
521,2009-10-21,Punjab,563.1916666666667
522,2009-10-22,Punjab,552.6181818181818
523,2009-10-23,Punjab,536.3230769230769
524,2009-10-24,Punjab,556.825
525,2009-10-25,Punjab,475.20000000000005
526,2009-10-26,Punjab,548.3636363636364
527,2009-10-27,Punjab,556.4
528,2009-10-28,Punjab,544.9181818181819
529,2009-10-29,Punjab,552.525
530,2009-10-30,Punjab,538.8166666666667
531,2009-10-31,Punjab,559.8625
532,2009-11-02,Punjab,638.8095238095239
533,2009-11-03,Punjab,602.8190476190476
534,2009-11-04,Punjab,618.84
535,2009-11-05,Punjab,608.8
536,2009-11-06,Punjab,576.6952380952381
537,2009-11-07,Punjab,586.2875
538,2009-11-08,Punjab,577.5052631578948
539,2009-11-09,Punjab,540.5272727272727
540,2009-11-10,Punjab,510.0
541,2009-11-11,Punjab,545.9666666666667
542,2009-11-12,Punjab,523.5
543,2009-11-13,Punjab,550.24
544,2009-11-14,Punjab,584.9285714285714
545,2009-11-16,Punjab,545.9545454545455
546,2009-11-17,Punjab,556.1142857142856
547,2009-11-18,Punjab,544.6285714285715
548,2009-11-19,Punjab,556.9454545454545
549,2009-11-20,Punjab,540.4625
550,2009-11-21,Punjab,554.4000000000001
551,2009-11-23,Punjab,547.5090909090909
552,2009-11-24,Punjab,539.6333333333333
553,2009-11-25,Punjab,555.1818181818181
554,2009-11-26,Punjab,544.3714285714285
